0.0,4.1
1.0,6.2
2.0,9.6
3.0,13.6
4.0,16.7
5.1,20.5
6.1,20.9
7.1,26.1
8.1,28.7
9.1,32.4
10.1,33.6
11.1,35.9
12.1,40.8
13.1,41.2
14.1,44.8
15.2,48.3
16.2,49.6
17.2,54.3
18.2,58.6
19.2,57.5
20.2,67.8
21.2,61.9
22.2,74.6
23.2,71.5
24.2,73.6
25.3,81.6
26.3,86.6
27.3,81.1
28.3,90.1
29.3,91.5
30.3,90.2
31.3,98.6
32.3,93.9
33.3,102.2
34.3,110.3
35.4,113.0
36.4,112.8
37.4,112.4
38.4,121.3
39.4,114.5
40.4,126.6
41.4,130.2
42.4,135.8
43.4,134.0
44.4,142.1
45.5,138.5
46.5,137.2
47.5,145.4
48.5,144.5
49.5,152.9
50.5,154.6
51.5,163.4
52.5,166.1
53.5,166.1
54.5,173.4
55.6,172.6
56.6,178.4
57.6,167.3
58.6,187.2
59.6,170.3
60.6,188.5
61.6,194.1
62.6,199.9
63.6,201.3
64.6,199.0
65.7,188.7
66.7,197.1
67.7,214.8
68.7,207.9
69.7,211.6
70.7,223.2
71.7,214.6
72.7,225.6
73.7,226.1
74.7,225.6
75.8,226.3
76.8,236.6
77.8,246.4
78.8,234.0
79.8,249.4
80.8,255.1
81.8,258.8
82.8,265.8
83.8,263.5
84.8,258.9
85.9,258.2
86.9,267.7
87.9,265.6
88.9,272.2
89.9,282.5
90.9,272.9
91.9,277.9
92.9,290.9
93.9,280.9
94.9,285.1
96.0,288.1
97.0,295.2
98.0,287.8
99.0,307.3
100.0,316.2
