0.0,4.3
1.0,8.9
2.0,9.8
3.0,15.8
4.0,14.3
5.1,18.2
6.1,30.0
7.1,26.9
8.1,30.2
9.1,25.8
10.1,39.9
11.1,31.0
12.1,30.0
13.1,48.4
14.1,35.6
15.2,44.8
16.2,56.0
17.2,52.1
18.2,61.5
19.2,71.3
20.2,74.8
21.2,50.3
22.2,85.9
23.2,67.4
24.2,79.2
25.3,82.2
26.3,68.9
27.3,61.6
28.3,61.2
29.3,68.4
30.3,98.5
31.3,76.8
32.3,94.8
33.3,106.6
34.3,127.5
35.4,99.9
36.4,92.8
37.4,121.1
38.4,130.6
39.4,151.0
40.4,147.4
41.4,118.9
42.4,92.4
43.4,109.8
44.4,130.1
45.5,157.0
46.5,145.9
47.5,106.8
48.5,126.8
49.5,96.2
50.5,185.6
51.5,201.3
52.5,169.1
53.5,160.9
54.5,197.1
55.6,162.3
56.6,140.1
57.6,162.1
58.6,156.5
59.6,217.4
60.6,183.9
61.6,183.0
62.6,244.4
63.6,211.6
64.6,191.8
65.7,271.0
66.7,244.1
67.7,190.2
68.7,188.4
69.7,205.0
70.7,234.4
71.7,215.0
72.7,238.6
73.7,283.7
74.7,173.0
75.8,174.7
76.8,231.7
77.8,224.4
78.8,228.6
79.8,230.3
80.8,207.5
81.8,248.5
82.8,291.3
83.8,233.0
84.8,281.7
85.9,304.3
86.9,278.3
87.9,230.7
88.9,210.2
89.9,283.8
90.9,296.0
91.9,211.5
92.9,249.8
93.9,231.8
94.9,294.5
96.0,291.7
97.0,296.3
98.0,263.7
99.0,250.5
100.0,317.8
